,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
123,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,NIL,1.31902768351346,103.839939723943,GILSTEAD BROOKS,11.0,2500.0,4.17
124,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,309098,1.31859814644669,103.839822345285,GILSTEAD COURT,11.0,5500.0,5.0
125,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,NIL,1.31902768351346,103.839939723943,,,,
126,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,307430,1.31890409229618,103.841058051663,GILSTEAD 68,9.0,2700.0,5.4
127,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249033,1.29438332889009,103.822532930933,JERVOISVILLE,28.0,3200.0,1.07
128,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249034,1.2941930917953202,103.823247232673,JERVOIS LODGE,21.0,2200.0,2.0
129,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249003,1.2926143008836102,103.824039827245,JERVOIS MANSIONS,19.0,2650.0,2.21
130,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249063,1.29488940916723,103.816655765912,JERVOIS MEADOWS,15.0,2600.0,2.6
131,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,NIL,1.29469446566934,103.820835566971,JJ'S RESIDENCES @ JERVOIS,13.0,3200.0,2.67
132,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,247656,1.2938490755616798,103.821581749873,MON JERVOIS,4.0,5300.0,3.12
133,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,NIL,1.29469446566934,103.820835566971,JERVOIS GREEN,10.0,3600.0,3.27
134,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249047,1.29429553529137,103.82143115320999,DORMER PARK,3.0,5543.0,3.46
135,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249055,1.29473553604744,103.818989337771,CASA JERVOIS,12.0,1750.0,3.5
136,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249041,1.29319467137094,103.822688038962,SRI MENANTI ESTATE,11.0,3800.0,3.8
137,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249056,1.29489580072094,103.81856774498002,JERVOIS GROVE,3.0,3200.0,4.0
138,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249081,1.29449097781881,103.822065328522,JERVOIS REGENCY,8.0,3100.0,4.43
139,PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,NIL,1.29469446566934,103.820835566971,LOTUS AT JERVOIS,9.0,2700.0,6.75
140,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249033,1.29438332889009,103.822532930933,JERVOISVILLE,28.0,3200.0,1.07
