Project,Street,District,Rent,PricePerSqft
NON-LANDED HOUSING DEVELOPMENT,LAVENDER STREET,15,3000,2.14
THE SORRENTO,WEST COAST ROAD,14,3000,2.14
LANDED HOUSING DEVELOPMENT,GALISTAN AVENUE,22,2800,2.15
TRELLIS TOWERS,LORONG 1 TOA PAYOH,21,2800,2.15
PARK EAST,JALAN TUA KONG,19,2800,2.15
SUMMER VIEW,LORONG 12 GEYLANG,16,2800,2.15
LANDED HOUSING DEVELOPMENT,SENNETT LANE,16,2800,2.15
LANDED HOUSING DEVELOPMENT,LORONG MARICAN,21,2150,2.15
RESIDENCES @ SOMME,PETAIN ROAD,18,2800,2.15
VISIN APARTMENTS,SURREY ROAD,18,2800,2.15
NON-LANDED HOUSING DEVELOPMENT,STARLIGHT ROAD,18,2800,2.15
LANDED HOUSING DEVELOPMENT,KOVAN ROAD,15,2800,2.15
VIZ AT HOLLAND,QUEENSWAY,21,3900,2.17
ONE OXLEY RISE,OXLEY RISE,21,3250,2.17
D'PAVILION,UPPER SERANGOON ROAD,09,6500,2.17
NON-LANDED HOUSING DEVELOPMENT,OXLEY ROAD,12,2600,2.17
LANDED HOUSING DEVELOPMENT,MOUNT SINAI LANE,17,2600,2.17
HORIZON TOWERS,LEONIE HILL,17,2600,2.17
HELIOS RESIDENCES,CAIRNHILL CIRCLE,23,2600,2.17
CATHAY GARDEN,JALAN KERIS,23,2600,2.17
GUILLEMARD VIEW,LORONG 26 GEYLANG,19,2600,2.17
FONTANA HEIGHTS,MOUNT SINAI RISE,19,2600,2.17
JAYA TOWERS,BUKIT TIMAH ROAD,21,3900,2.17
LOFT @ STEVENS,STEVENS ROAD,07,1950,2.17
THE WARREN,CHOA CHU KANG LOOP,19,1950,2.17
HIJAUAN,CAVENAGH ROAD,08,2600,2.17
EMERALD HILL CONSERVATION AREA,CAIRNHILL ROAD,21,2400,2.18
HIGHLAND CONDOMINIUM,HIGHLAND ROAD,21,2400,2.18
THE FLORAVALE,WESTWOOD AVENUE,21,2400,2.18
NON-LANDED HOUSING DEVELOPMENT,LORONG 15 GEYLANG,16,2400,2.18
LANDED HOUSING DEVELOPMENT,WAK HASSAN DRIVE,15,3700,2.18
HAIG ELEVEN,HAIG AVENUE,15,3050,2.18
LANDED HOUSING DEVELOPMENT,JALAN MELATI,19,2400,2.18
HILLVIEW 128,HILLVIEW AVENUE,23,2400,2.18
AMARYLLIS VILLE,NEWTON ROAD,23,2400,2.18
HAIG COURT,HAIG ROAD,23,2400,2.18
NASSIM JADE,NASSIM ROAD,19,2400,2.18
COMFORT GARDEN,CHOA CHU KANG AVENUE 1,19,2400,2.18
