Project,Street,District,Rent,PricePerSqft
8@WOODLEIGH,WOODLEIGH CLOSE,11,3000,3.0
LANDED HOUSING DEVELOPMENT,SHELFORD ROAD,11,3000,3.0
NON-LANDED HOUSING DEVELOPMENT,DUNLOP STREET,11,2700,3.0
THE MARBELLA,MOUNT SINAI RISE,12,3000,3.0
NON-LANDED HOUSING DEVELOPMENT,ONAN ROAD,12,3000,3.0
PASADENA,DERBYSHIRE ROAD,19,1500,3.0
SKYSUITES17,JALAN RAJAH,10,3900,3.0
ROSE VILLE,ROSE LANE,10,3300,3.0
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,05,2700,3.0
SIGLAP CENTRE,SIGLAP ROAD,05,3600,3.0
PARK COURT,LORONG 101 CHANGI,21,3000,3.0
THE DEW,BUKIT BATOK STREET 21,21,3000,3.0
COSY 23,LORONG 30 GEYLANG,10,5100,3.0
LANDED HOUSING DEVELOPMENT,SELETAR GREEN VIEW,13,3900,3.0
CHIP HOCK GARDENS,FARRER ROAD,13,2700,3.0
LANDED HOUSING DEVELOPMENT,CHANGI ROAD,13,2700,3.0
TRILIGHT,NEWTON ROAD,15,2100,3.0
RESIDENCES @ LIMAU,JALAN LIMAU BALI,09,3600,3.0
MIMOSA VILLAS,MIMOSA WALK,09,4800,3.0
EUNOS PARK,KAMPONG EUNOS,09,6300,3.0
GALLOP COURT,GALLOP ROAD,09,4500,3.0
NOVA 48,PROME ROAD,07,2700,3.0
LEONIE GARDENS,LEONIE HILL,07,2400,3.0
MANDARIN PARK,CHUN TIN ROAD,13,2700,3.0
THE MARQUE @ IRRAWADDY,SHAN ROAD,14,2700,3.0
FUTSING BUILDING,ALLENBY ROAD,09,3650,3.04
UE SQUARE,RIVER VALLEY ROAD,23,1825,3.04
LANDED HOUSING DEVELOPMENT,HOW SUN ROAD,09,7000,3.04
ROBIN SUITES,ROBIN ROAD,15,5800,3.05
TANAH MERAH MANSION,TANAH MERAH KECHIL ROAD,15,5800,3.05
THOMSON RISE ESTATE,JALAN BERJAYA,15,5500,3.06
LANDED HOUSING DEVELOPMENT,CHANCERY HILL WALK,15,2750,3.06
CHANTILLY RISE,HILLVIEW AVENUE,05,4900,3.06
MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,04,5200,3.06
ESTILO,WILKIE ROAD,04,5200,3.06
LANDED HOUSING DEVELOPMENT,BOURNEMOUTH ROAD,04,5200,3.06
LANDED HOUSING DEVELOPMENT,JALAN BINCHANG,10,5500,3.06
NON-LANDED HOUSING DEVELOPMENT,ROSE LANE,10,5500,3.06
STRATUM,ELIAS ROAD,09,5500,3.06
NON-LANDED HOUSING DEVELOPMENT,LORONG 4 GEYLANG,04,5500,3.06
CLAYMORE PLAZA APARTMENT,CLAYMORE HILL,11,5200,3.06
FABER GARDEN,JALAN ANGKLONG,11,2750,3.06
CLOVER PARK,CLOVER AVENUE,10,5500,3.06
PASIR PANJANG COURT,PASIR PANJANG CLOSE,13,2750,3.06
THE ABODE AT DEVONSHIRE,DEVONSHIRE ROAD,13,2750,3.06
JLB RESIDENCES,JALAN LOYANG BESAR,15,4300,3.07
LANDED HOUSING DEVELOPMENT,JUBILEE ROAD,04,6450,3.07
SKT MANSIONS,LORONG 25 GEYLANG,04,9200,3.07
LANDED HOUSING DEVELOPMENT,JALAN SEGAM,11,4300,3.07
MONTEBLEU,MINBU ROAD,15,4300,3.07
SUNFLOWER RESIDENCE,LORONG 32 GEYLANG,11,4600,3.07
LAGOON VIEW,MARINE PARADE ROAD,19,2150,3.07
ADELPHI PARK ESTATE,GARDENIA ROAD,09,9200,3.07
TREVISTA,LORONG 3 TOA PAYOH,13,4300,3.07
SUNDANCE SUITES,DUKU PLACE,09,4000,3.08
SYMPHONY HEIGHTS,HUME AVENUE,12,1850,3.08
CHESTNUT VILLE,JALAN PAKIS,10,4000,3.08
NON-LANDED HOUSING DEVELOPMENT,LORONG 9 GEYLANG,21,1850,3.08
LANDED HOUSING DEVELOPMENT,DUKU LANE,10,5850,3.08
SEAVIEW POINT,AMBER ROAD,15,1850,3.08
DAISY LODGE,DAISY ROAD,11,4000,3.08
RV SUITES,RIVER VALLEY ROAD,11,4000,3.08
KIM SIA COURT,JALAN JINTAN,17,1850,3.08
SEA AVENUE RESIDENCES,SEA AVENUE,10,3700,3.08
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,21,4000,3.08
LANDED HOUSING DEVELOPMENT,MACPHERSON ROAD,21,4000,3.08
YEW LIAN PARK,JALAN PELATINA,19,1850,3.08
LUMIERE,MISTRI ROAD,20,4000,3.08
SARACA GARDENS,SARACA ROAD,10,4000,3.08
CLUNY PARK RESIDENCE,CLUNY PARK ROAD,11,3400,3.09
FORESTVILLE,WOODLANDS DRIVE 16,10,3400,3.09
THE SEAWIND,LORONG M TELOK KURAU,10,3400,3.09
BALMORAL GATE,BALMORAL ROAD,09,6800,3.09
FIVE CHANCERY,CHANCERY LANE,10,3400,3.09
NON-LANDED HOUSING DEVELOPMENT,LORONG 22 GEYLANG,05,3400,3.09
GRANDIOSO 8,BRIGHT HILL CRESCENT,04,6500,3.1
URBAN SUITES,HULLET ROAD,11,3100,3.1
THE PEAK @ CAIRNHILL I,CAIRNHILL CIRCLE,11,6200,3.1
VERSAILLES,HEMMANT ROAD,10,3100,3.1
CORONA VILLE,JALAN HAJI ALIAS,15,6500,3.1
THE EDEN AT TAMPINES,TAMPINES STREET 34,15,6500,3.1
BELMOND GREEN,BALMORAL ROAD,17,1550,3.1
THE MAKENA,MEYER ROAD,08,3100,3.1
PALMERA RESIDENCE,LORONG N TELOK KURAU,12,3100,3.1
LANDED HOUSING DEVELOPMENT,JOON HIANG ROAD,20,3100,3.1
ENG KONG GREEN,ENG KONG CRESCENT,15,1550,3.1
# 1 LOFT,LORONG 24 GEYLANG,15,1550,3.1
FERNHILL COTTAGE,FERNHILL ROAD,09,6500,3.1
FENARA COURT,JALAN WAKAFF,21,3100,3.1
KUIE PONG LOFT,ROBIN WALK,21,3100,3.1
NON-LANDED HOUSING DEVELOPMENT,TAMPINES AVENUE,08,3100,3.1
HILLVISTA,ELIZABETH DRIVE,10,9000,3.1
ST MICHAEL'S CONDOMINIUM,ST. MICHAEL'S ROAD,15,5900,3.11
THE TROPICA,TAMPINES AVENUE 1,15,2800,3.11
ROSEWOOD,ROSEWOOD DRIVE,09,2800,3.11
TEXTILE CENTRE,JALAN SULTAN,08,2800,3.11
THE VUE,UPPER PAYA LEBAR ROAD,10,2800,3.11
MARINA BAY SUITES,CENTRAL BOULEVARD,10,2800,3.11
SPRINGWOOD,SPRINGWOOD AVENUE,10,2800,3.11
MODENA,SIMEI STREET 4,19,2800,3.11
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,19,2800,3.11
DERBYSHIRE HEIGHTS,DERBYSHIRE ROAD,21,2800,3.11
ASTOR GREEN,PINE GROVE,21,2800,3.11
SUMMERDALE,BOON LAY DRIVE,21,2800,3.11
VILLA AZURA,CHERRY AVENUE,07,2800,3.11
KOVAN RESIDENCES,KOVAN ROAD,07,2800,3.11
SUNNYVALE RESIDENCES,LORONG K TELOK KURAU,13,2800,3.11
SCOTTS SQUARE,SCOTTS ROAD,13,2800,3.11
MON JERVOIS,JERVOIS ROAD,04,5300,3.12
NINETEEN SHELFORD ROAD,SHELFORD ROAD,10,2500,3.13
VALLEY HOUSE,RIVER VALLEY ROAD,10,7500,3.13
PARADISE PALMS,DUNMAN ROAD,10,4379,3.13
ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,11,5000,3.13
THE ARISTO @ AMBER,AMBER ROAD,11,3750,3.13
CAPE ROYALE,COVE WAY,08,4700,3.13
MEIER SUITES,MARGATE ROAD,19,2500,3.13
CASUARINA COVE,TANJONG RHU ROAD,23,2200,3.14
CHOON KIM HOUSE,UPPER SERANGOON ROAD,23,2200,3.14
LANDED HOUSING DEVELOPMENT,BEGONIA ROAD,10,11000,3.14
ROBERTSON EDGE,TONG WATT ROAD,20,2200,3.14
GRAND CHATEAU,JALAN RAJAWALI,19,2200,3.14
LIGHTHOUSE,JALAN LOYANG BESAR,19,2200,3.14
THE CITRON RESIDENCES,MARNE ROAD,11,2200,3.14
CASABELLA,DUCHESS AVENUE,10,6600,3.14
SEMBAWANG PARK,SEMBAWANG ROAD,05,2200,3.14
TROPIKA EAST,FOO KIM LIN ROAD,09,6600,3.14
ROSEWOOD SUITES,ROSEWOOD DRIVE,07,2200,3.14
3@SANDILANDS,SANDILANDS ROAD,18,3450,3.14
SUITES DE LAUREL,JALAN ANAK BUKIT,14,2200,3.14
CASA ROSA,LORONG ONG LYE,11,8200,3.15
BELLEZZA @ KATONG,CEYLON ROAD,20,3150,3.15
THE ANSLEY,MANDALAY ROAD,21,4100,3.15
RESIDENCES 88,LORONG MARICAN,14,4100,3.15
AMBER PARK,AMBER GARDENS,15,6000,3.16
LANDED HOUSING DEVELOPMENT,LORONG MELAYU,15,6000,3.16
DUNSFOLD 18,DUNSFOLD DRIVE,23,1900,3.17
LANDED HOUSING DEVELOPMENT,GAMBIR WALK,23,1900,3.17
D'GALLERY,JALAN MASJID,23,1900,3.17
GILSTEAD 38,GILSTEAD ROAD,27,1900,3.17
NON-LANDED HOUSING DEVELOPMENT,RACE COURSE ROAD,10,3800,3.17
SKYLINE @ ORCHARD BOULEVARD,ANGULLIA PARK,15,1900,3.17
J GATEWAY,GATEWAY DRIVE,03,6650,3.17
LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,21,1900,3.17
THE LINEAR,UPPER BUKIT TIMAH ROAD,21,1900,3.17
NON-LANDED HOUSING DEVELOPMENT,CHOA CHU KANG ROAD,21,1900,3.17
HIGH OAK CONDOMINIUM,TOH TUCK ROAD,21,1900,3.17
CITY SQUARE RESIDENCES,KITCHENER LINK,14,1900,3.17
ISUITES @ TANI,JALAN TANI,04,3800,3.17
DUO RESIDENCES,FRASER STREET,17,1900,3.17
LEEDON RESIDENCE,LEEDON HEIGHTS,17,1900,3.17
GUILLEMARD SUITES,GUILLEMARD ROAD,04,5700,3.17
MAPLE WOODS,BUKIT TIMAH ROAD,19,2850,3.17
RIVERBANK @ FERNVALE,FERNVALE CLOSE,14,1900,3.17
THE ODEON KATONG,EAST COAST ROAD,14,1900,3.17
SERANGOON VILLE,SERANGOON NORTH AVENUE 1,19,1900,3.17
LANDED HOUSING DEVELOPMENT,LORONG MARZUKI,09,3800,3.17
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,13,2850,3.17
GAMBIR TERRACE,LORONG GAMBIR,18,2850,3.17
GAIA,JALAN DUSUN,03,3500,3.18
VILLA D'ESTE,DALVEY ROAD,09,7000,3.18
THE ASTERIA,MARTIA ROAD,11,3500,3.18
AVA TOWERS,AVA ROAD,10,3500,3.18
LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,10,3500,3.18
MERALODGE,HILLVIEW AVENUE,09,3500,3.18
KILLINEY 118,KILLINEY ROAD,09,3500,3.18
SEA ESTA,PASIR RIS LINK,11,5100,3.19
LANDED HOUSING DEVELOPMENT,BUKIT TUNGGAL ROAD,10,2550,3.19
KATONG VILLE,TANJONG KATONG ROAD,04,9250,3.19
LANDED HOUSING DEVELOPMENT,THOMSON RIDGE,19,2550,3.19
NON-LANDED HOUSING DEVELOPMENT,KHEAM HOCK ROAD,15,1600,3.2
LANDED HOUSING DEVELOPMENT,JALAN CHORAK,11,4800,3.2
ESPIRA SUITES,LORONG G TELOK KURAU,23,1600,3.2
MURANO,PASIR PANJANG ROAD,23,1600,3.2
BOUGAINVILLA APARTMENTS,LORONG 19 GEYLANG,17,1600,3.2
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,17,1600,3.2
RIVERSIDE 48,ROBERTSON QUAY,17,1600,3.2
LANDED HOUSING DEVELOPMENT,COVE DRIVE,11,4800,3.2
KILAT COURT,LORONG KILAT,10,3200,3.2
THE EASTSIDE,JOO CHIAT ROAD,12,1600,3.2
ONE DUSUN RESIDENCES,JALAN DUSUN,14,1600,3.2
IDYLLIC SUITES,LORONG 30 GEYLANG,14,1600,3.2
THE SPINNAKER,SUFFOLK ROAD,08,4800,3.2
MELROSE VILLE,ROSE LANE,19,1600,3.2
BALMORAL PLACE,BALMORAL CRESCENT,19,1600,3.2
NON-LANDED HOUSING DEVELOPMENT,NEWTON ROAD,21,3200,3.2
PALM LODGE,LORONG 37 GEYLANG,21,3200,3.2
GREEN HILL ESTATE,CHESTNUT DRIVE,14,1600,3.2
CHANGI COURT,UPPER CHANGI ROAD EAST,19,1600,3.2
LANDED HOUSING DEVELOPMENT,YUNNAN CRESCENT,08,3200,3.2
NON-LANDED HOUSING DEVELOPMENT,JALAN MOLEK,12,1600,3.2
HILLTOPS,CAIRNHILL CIRCLE,12,1600,3.2
KOVAN GRANDEUR,TAMPINES ROAD,10,4800,3.2
SIXTH AVENUE VILLE,SIXTH AVENUE,15,3200,3.2
LANDED HOUSING DEVELOPMENT,TOH AVENUE,08,3200,3.2
WATERFORD RESIDENCE,KIM YAM ROAD,19,1600,3.2
AVANT RESIDENCES,ALJUNIED ROAD,09,3200,3.2
FRAGRANT GARDENS,UPPER PAYA LEBAR ROAD,23,2250,3.21
LANDED HOUSING DEVELOPMENT,EAST COAST ROAD,15,4500,3.21
GRANDE VISTA,CACTUS DRIVE,11,4500,3.21
FLAMINGO VALLEY,SIGLAP ROAD,10,4500,3.21
LLOYD MANSION,LLOYD ROAD,09,2250,3.21
ESPARINA RESIDENCES,COMPASSVALE BOW,10,4500,3.21
THOMSON EURO-ASIA,THOMSON ROAD,21,2250,3.21
NON-LANDED HOUSING DEVELOPMENT,BALESTIER ROAD,10,2900,3.22
THE HACIENDA,HACIENDA GROVE,10,2900,3.22
THE RIVERWALK,UPPER CIRCULAR ROAD,10,2900,3.22
THE JADE,BUKIT BATOK CENTRAL LINK,10,2900,3.22
LANDED HOUSING DEVELOPMENT,JALAN JAMBU AYER,09,5800,3.22
HOLLAND COURT,HOLLAND ROAD,04,5800,3.22
THE HUNTINGTON,MOULMEIN ROAD,04,5800,3.22
WATERLOO APARTMENTS,WATERLOO STREET,04,5800,3.22
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,19,2900,3.22
DE LENTE,HOLLAND ROAD,21,2900,3.22
SOUTHAVEN II,HINDHEDE WALK,09,5150,3.22
SELETAR GARDEN,CACTUS CRESCENT,13,2900,3.22
LANDED HOUSING DEVELOPMENT,SIAN TUAN AVENUE,13,2900,3.22
EQUITY HEIGHTS,MOUNT SOPHIA,18,2900,3.22
PARC MONDRIAN,WOODLEIGH CLOSE,04,4200,3.23
EDELWEISS PARK CONDOMINIUM,FLORA ROAD,19,4200,3.23
ORANGE REGENCY,FERNHILL ROAD,10,4200,3.23
BURGUNDY HILL,BURGUNDY CRESCENT,10,5500,3.24
AURALIS,EAST COAST ROAD,04,5500,3.24
VOGX,DORSET ROAD,04,6800,3.24
WATTEN ESTATE,PARK VALE,10,6800,3.24
DRAYCOTT EIGHT,DRAYCOTT PARK,23,1950,3.25
LANDED HOUSING DEVELOPMENT,EVERGREEN AVENUE,10,6500,3.25
VA RESIDENCES,BOON TECK ROAD,21,1950,3.25
MILL CREEK,LORONG MARZUKI,21,1950,3.25
NON-LANDED HOUSING DEVELOPMENT,PILLAI ROAD,14,1950,3.25
LANDED HOUSING DEVELOPMENT,ROBIN CLOSE,10,3250,3.25
WOODLANDS PARK,JALAN BUMBONG,15,1950,3.25
QUESTA @ DUNMAN,DUNMAN ROAD,15,1950,3.25
THE EBONY,LORONG MARICAN,19,1950,3.25
SHELFORD VIEW,SHELFORD ROAD,19,2600,3.25
EAST 25 APARTMENTS,LORONG 25A GEYLANG,19,2600,3.25
BRADDELL HEIGHTS ESTATE,CARMICHAEL ROAD,19,2600,3.25
ONE NORTH BRIDGE,NORTH BRIDGE ROAD,19,2600,3.25
ATELIER VILLAS,YIO CHU KANG DRIVE,19,3900,3.25
RIVIERA 38,MAR THOMA ROAD,10,6500,3.25
TREASURE PLACE,LORONG SARHAD,05,2600,3.25
RIVERVALE CREST,RIVERVALE CRESCENT,21,2600,3.25
1 CANBERRA,CANBERRA DRIVE,21,2600,3.25
NON-LANDED HOUSING DEVELOPMENT,SHREWSBURY ROAD,19,1950,3.25
CASA PASIR RIS,JALAN LOYANG BESAR,09,2600,3.25
FERNWOOD TOWERS,FERNWOOD TERRACE,18,2600,3.25
SELETARIS,SEMBAWANG ROAD,18,2600,3.25
RESIDENCES AT 338A,RIVER VALLEY ROAD,15,6200,3.26
THE MINTON,HOUGANG STREET 11,03,6200,3.26
THE CITRINE,JALAN DATOH,11,3600,3.27
NON-LANDED HOUSING DEVELOPMENT,BALMORAL ROAD,10,4900,3.27
LANDED HOUSING DEVELOPMENT,JALAN BILAL,10,4900,3.27
BARTLEY RESIDENCES,LORONG HOW SUN,10,4900,3.27
SUITES @ PAYA LEBAR,UPPER PAYA LEBAR ROAD,09,7200,3.27
JERVOIS GREEN,JERVOIS ROAD,10,3600,3.27
BEAUTY WORLD PLAZA,UPPER BUKIT TIMAH ROAD,10,3600,3.27
LANDED HOUSING DEVELOPMENT,JALAN SENANG,10,3600,3.27
LANDED HOUSING DEVELOPMENT,LUCKY VIEW,10,3600,3.27
GOODLUCK GARDEN,TOH TUCK ROAD,09,3600,3.27
EUPHONY GARDENS,JALAN MATA AYER,04,9500,3.28
ASPEN LINQ,INSTITUTION HILL,10,5900,3.28
LANDED HOUSING DEVELOPMENT,CHUAN PLACE,10,5900,3.28
EDEN PARK,CYPRESS AVENUE,10,5250,3.28
JUPITER 18,LORONG 102 CHANGI,13,2950,3.28
THE HOLLAND COLLECTION,HOLLAND ROAD,13,2950,3.28
1919,SOPHIA ROAD,09,11500,3.29
LEICESTER LODGE,LEICESTER ROAD,10,9200,3.29
FAIRMOUNT CONDOMINIUM,EASTWOOD ROAD,03,5600,3.29
ECHELON,ALEXANDRA VIEW,03,6900,3.29
GREENWOOD MEWS,GREENWOOD AVENUE,10,5600,3.29
ISUITES @ PALM,GLASGOW ROAD,11,4600,3.29
SEA BREEZE TERRACE,SEA BREEZE AVENUE,20,2300,3.29
SARKIES GARDENS,SARKIES ROAD,20,2300,3.29
LEONIE PARC VIEW,LEONIE HILL ROAD,20,2300,3.29
THE FOLIAGE,PASIR PANJANG ROAD,04,5600,3.29
LA FLEUR,LORONG 26 GEYLANG,10,2300,3.29
8 RAJA,JALAN RAJA UDANG,10,11500,3.29
THOMSON V TWO,SIN MING ROAD,10,11500,3.29
THE PALLADIUM,BROOKE ROAD,08,4600,3.29
ST THOMAS VILLE,ST. THOMAS WALK,09,5600,3.29
PAVILION 11,AKYAB ROAD,19,2300,3.29
NON-LANDED HOUSING DEVELOPMENT,LORONG 16 GEYLANG,19,2300,3.29
BUKIT LOYANG ESTATE,JALAN BATALONG EAST,19,2300,3.29
FONTAINE PARRY,POH HUAT ROAD,19,2300,3.29
CAMBIO SUITES,LIM TUA TOW ROAD,15,2300,3.29
REGAL 35,LORONG 35 GEYLANG,09,5600,3.29
DOVER PARKVIEW,DOVER RISE,09,2300,3.29
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,05,2300,3.29
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,15,2300,3.29
RACE COURSE 138,RACE COURSE ROAD,15,2300,3.29
LANDED HOUSING DEVELOPMENT,BOSCOMBE ROAD,14,2300,3.29
THE PEAK@BALMEG,BALMEG HILL,04,8900,3.3
KELULUT HILL,KELULUT HILL,07,3300,3.3
RITZ MANSIONS,BALESTIER ROAD,07,3300,3.3
VIIO @ BALESTIER,BALESTIER ROAD,14,1650,3.3
LANDED HOUSING DEVELOPMENT,JALAN TELITI,11,3300,3.3
VIBES @ KOVAN,KOVAN ROAD,23,1980,3.3
PAVILION PARK,PAVILION STREET,23,1650,3.3
DEVONSHIRE 12,DEVONSHIRE ROAD,10,3300,3.3
D'ZIRE,ROBEY CRESCENT,17,1650,3.3
TWO8ONE STUDIO,RIVER VALLEY ROAD,17,1650,3.3
WATTEN HILL,WATTEN ESTATE ROAD,15,1650,3.3
THE NEXUS,BUKIT TIMAH ROAD,19,1650,3.3
LANDED HOUSING DEVELOPMENT,SERAYA LANE,19,1650,3.3
ASCENTIA SKY,ALEXANDRA VIEW,10,3300,3.3
THOMSON HILLS,THOMSON HILLS DRIVE,21,3300,3.3
SOPHIA RESIDENCE,SOPHIA ROAD,15,3300,3.3
OXLEY NEO RESIDENCES,OXLEY ROAD,03,2650,3.31
TERESA VILLE,LOWER DELTA ROAD,19,2650,3.31
SHAMROCK PARK,NAMLY PLACE,19,2650,3.31
BALLOTA PARK CONDOMINIUM,MARIAM WAY,09,6300,3.32
VILLA DE WEST,PASIR PANJANG ROAD,03,5972,3.32
PARC STEVENS,STEVENS DRIVE,03,3650,3.32
SPRINGLEAF GARDEN,SPRINGLEAF AVENUE,04,7000,3.33
GRANGE INFINITE,GRANGE ROAD,04,8000,3.33
DUET,HOLLAND ROAD,07,3000,3.33
LANDED HOUSING DEVELOPMENT,CRANBORNE ROAD,11,3000,3.33
SETIA RESIDENCES,EVELYN ROAD,23,2000,3.33
KEMBANGAN SUITES,JALAN MASJID,23,2000,3.33
LANDED HOUSING DEVELOPMENT,DUKU ROAD,12,4000,3.33
AMANINDA,THOMSON ROAD,27,2000,3.33
THE ORANGE GROVE,ORANGE GROVE ROAD,27,2000,3.33
BELLE VUE RESIDENCES,OXLEY WALK,10,3000,3.33
NAUNG RESIDENCE,JALAN NAUNG,10,3000,3.33
MELINIA COURT,LORONG M TELOK KURAU,03,3000,3.33
SUITES@BRADDELL,BRADDELL ROAD,03,3000,3.33
MARTIA RESIDENCE,MARTIA ROAD,21,2000,3.33
LANDED HOUSING DEVELOPMENT,CROUCHER ROAD,21,2000,3.33
SUITES AT ORCHARD,HANDY ROAD,21,3000,3.33
LANDED HOUSING DEVELOPMENT,LORONG TANGGAM,11,5000,3.33
THE WOODS,WESTWOOD AVENUE,20,2000,3.33
MEYER RESIDENCE,MEYER PLACE,04,4000,3.33
28 SHELFORD,SHELFORD ROAD,15,2000,3.33
8 @ MOUNT SOPHIA,MOUNT SOPHIA,10,4000,3.33
THE ESTA,AMBER GARDENS,12,3000,3.33
THE OPUS,AMBER GARDENS,08,5000,3.33
LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,21,3000,3.33
NEWTON SUITES,NEWTON ROAD,03,5000,3.33
THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,19,2000,3.33
EMILY RESIDENCE,MOUNT EMILY ROAD,19,2000,3.33
ROYCE RESIDENCES,LORONG 6 GEYLANG,19,2000,3.33
OAK VILLAS,MAPLE AVENUE,19,2000,3.33
KEMAMAN POINT,JALAN KEMAMAN,19,3000,3.33
GRAND DUCHESS AT ST PATRICK'S,ST. PATRICK'S ROAD,19,3000,3.33
D' IXORAS,MINBU ROAD,19,2000,3.33
SKY HABITAT,BISHAN STREET 15,19,2000,3.33
QUEENSBERRY LODGE,SHANGHAI ROAD,10,3000,3.33
EAST COAST HILL,SENNETT AVENUE,10,4000,3.33
HOLLAND GROVE PARK,HOLLAND GROVE DRIVE,10,7000,3.33
THE TAIPAN,JALAN HAJIJAH,10,4000,3.33
THE PALETTE,PASIR RIS GROVE,10,7000,3.33
CENTURY MANSIONS,JALAN REMAJA,10,4000,3.33
LANDED HOUSING DEVELOPMENT,TUDOR CLOSE,19,2000,3.33
EMERY POINT,IPOH LANE,10,10000,3.33
MACKENZIE 138,MACKENZIE ROAD,13,3000,3.33
THOMSON PARK,JALAN IKAN MERAH,13,2000,3.33
CENTRA LOFT,LORONG 35 GEYLANG,13,2000,3.33
CLYDESWOOD,DAISY ROAD,09,3000,3.33
LANDED HOUSING DEVELOPMENT,JALAN TARI ZAPIN,09,5000,3.33
HOLLYWOOD APARTMENTS,OXLEY RISE,07,3000,3.33
VICTORIA PARK,VICTORIA PARK CLOSE,18,3000,3.33
DAKOTA RESIDENCES,DAKOTA CRESCENT,18,2000,3.33
RICCHEZZA,LORONG M TELOK KURAU,18,3000,3.33
WILLYN VILLE,HOLLAND AVENUE,18,3000,3.33
LANDED HOUSING DEVELOPMENT,PARBURY AVENUE,18,3000,3.33
8 FARRER SUITES,SING JOO WALK,18,2000,3.33
THE MAYLEA,PASIR PANJANG ROAD,14,2000,3.33
SOPHIA FLATS,WILKIE ROAD,14,4000,3.33
SHAMROCK VILLAS,NAMLY PLACE,04,9700,3.34
GREENBANK PARK,GREENBANK PARK,10,5350,3.34
LANDED HOUSING DEVELOPMENT,HOLLAND GROVE DRIVE,07,2680,3.35
BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,09,3680,3.35
THE SANCTUARY @ GEYLANG,LORONG 30 GEYLANG,12,3700,3.36
SUMMERHILL,HUME AVENUE,19,2350,3.36
THE WOODGROVE,WOODGROVE DRIVE,09,4700,3.36
CANNE LODGE,LORONG 3 GEYLANG,04,6400,3.37
MAKEWAY VIEW,MAKEWAY AVENUE,10,2700,3.38
CAMELOT,TANJONG RHU ROAD,03,6758,3.38
FRUITION,MANGIS ROAD,15,2700,3.38
EIGHT COURTYARDS,CANBERRA DRIVE,14,1350,3.38
SIGNATURE AT LEWIS,LEWIS ROAD,19,2700,3.38
ELEVEN @ HOLLAND,HOLLAND LINK,05,2700,3.38
COASTARINA,EAST COAST ROAD,09,2700,3.38
THE SEA VIEW,AMBER ROAD,04,6100,3.39
LANDED HOUSING DEVELOPMENT,PLANTATION AVENUE,04,7150,3.4
TAN TONG MENG TOWER,THOMSON ROAD,11,3400,3.4
GOODWOOD GRAND,BALMORAL ROAD,23,1700,3.4
TAMPINES COURT,TAMPINES STREET 11,17,1700,3.4
OLINA LODGE,HOLLAND HILL,17,1700,3.4
TOWNER VILLE,MAY ROAD,14,1700,3.4
THE MIDAS,LORONG 30 GEYLANG,14,1700,3.4
CITY LOFT,RACE COURSE ROAD,14,1700,3.4
H2O RESIDENCES,FERNVALE LINK,14,1700,3.4
CENTRA STUDIOS,LORONG 25 GEYLANG,14,1700,3.4
GOODWOOD GARDENS,BALMORAL CRESCENT,14,1700,3.4
RIVERSAILS,UPPER SERANGOON CRESCENT,14,1700,3.4
THE ELYSIA,MAR THOMA ROAD,14,1700,3.4
LA VIDA @ 130,LORONG K TELOK KURAU,15,1700,3.4
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,10,8500,3.4
LANDED HOUSING DEVELOPMENT,GREENLEAF ROAD,15,1700,3.4
ONE CHATSWORTH,CHATSWORTH ROAD,08,5100,3.4
NON-LANDED HOUSING DEVELOPMENT,SEMBAWANG ROAD,19,1700,3.4
NOVELIS,SINARAN DRIVE,19,1700,3.4
RICHMOND PARK,BIDEFORD ROAD,19,1700,3.4
LEVILLE ISUITES,CEYLON ROAD,19,1700,3.4
GARDENVILLE,WALSHE ROAD,19,1700,3.4
THE NASSIM,NASSIM HILL,14,1700,3.4
LANDED HOUSING DEVELOPMENT,FERNHILL CRESCENT,19,1700,3.4
LANDED HOUSING DEVELOPMENT,JALAN HAJI SALAM,19,1700,3.4
LANDED HOUSING DEVELOPMENT,LORONG SARINA,11,3400,3.4
LANDED HOUSING DEVELOPMENT,JALAN NOVENA UTARA,12,1700,3.4
THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,10,8500,3.4
LANDED HOUSING DEVELOPMENT,SENNETT ROAD,19,1700,3.4
PARK RESIDENCES KOVAN,UPPER SERANGOON ROAD,09,5800,3.41
CRYSTAL RHU,TANJONG RHU ROAD,03,3750,3.41
RITZ REGENCY,IPOH LANE,10,5800,3.41
HUNDRED TREES,WEST COAST DRIVE,20,3750,3.41
KING'S ARCADE,BUKIT TIMAH ROAD,04,5800,3.41
